Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413382	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 31	http://www.ebi.ac.uk/efo/EFO_0006542	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BICR 31	http://www.ebi.ac.uk/efo/EFO_0006542	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
ERR413383	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BICR 78	http://www.ebi.ac.uk/efo/EFO_0006543	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BICR 78	http://www.ebi.ac.uk/efo/EFO_0006543	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000199	Yes
ERR413384	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BJAB	http://www.ebi.ac.uk/efo/EFO_0002815	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		RPMI-1640, 20% HI FBS, 10% DMSO		BJAB	http://www.ebi.ac.uk/efo/EFO_0002815	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	Yes
ERR413385	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-20	http://www.ebi.ac.uk/efo/EFO_0001092	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	74 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BT-20	http://www.ebi.ac.uk/efo/EFO_0001092	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ERR413386	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-474	http://www.ebi.ac.uk/efo/EFO_0001093	breast	http://purl.obolibrary.org/obo/UBERON_0000310	soft tissue		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	60 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BT-474	http://www.ebi.ac.uk/efo/EFO_0001093	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	No
ERR413387	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-483	http://www.ebi.ac.uk/efo/EFO_0001095	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	23 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BT-483	http://www.ebi.ac.uk/efo/EFO_0001095	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413388	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BT-549	http://www.ebi.ac.uk/efo/EFO_0001096	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	72 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BT-549	http://www.ebi.ac.uk/efo/EFO_0001096	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413389	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	61 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		BxPC-3	http://www.ebi.ac.uk/efo/EFO_0002709	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR413390	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C-33 A	http://www.ebi.ac.uk/efo/EFO_0002120	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		C-33 A	http://www.ebi.ac.uk/efo/EFO_0002120	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR413391	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C170	http://www.ebi.ac.uk/efo/EFO_0006363	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		C170	http://www.ebi.ac.uk/efo/EFO_0006363	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	No
ERR413392	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C2BBe1	http://www.ebi.ac.uk/efo/EFO_0006546	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	72 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM; 10% FBS; 2mM L-Glutamine		90% FBS; 10% DMSO		C2BBe1	http://www.ebi.ac.uk/efo/EFO_0006546	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413393	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C32	http://www.ebi.ac.uk/efo/EFO_0006364	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	53 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		C32	http://www.ebi.ac.uk/efo/EFO_0006364	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413394	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C32TG	http://www.ebi.ac.uk/efo/EFO_0002119	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	53 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		C32TG	http://www.ebi.ac.uk/efo/EFO_0002119	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413395	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	C3A	http://www.ebi.ac.uk/efo/EFO_0002121	liver	http://purl.obolibrary.org/obo/UBERON_0002107	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	liver	http://purl.obolibrary.org/obo/UBERON_0002107	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	not available		not available		not available		not determined		not determined		C3A	http://www.ebi.ac.uk/efo/EFO_0002121	liver	http://purl.obolibrary.org/obo/UBERON_0002107	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	Yes
ERR413396	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Ca Ski	http://purl.obolibrary.org/obo/CLO_0002165	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Ca Ski	http://purl.obolibrary.org/obo/CLO_0002165	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR413397	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CA46	http://www.ebi.ac.uk/efo/EFO_0002124	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	not available		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CA46	http://www.ebi.ac.uk/efo/EFO_0002124	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR413398	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caco-2	http://www.ebi.ac.uk/efo/EFO_0001099	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Caco-2	http://www.ebi.ac.uk/efo/EFO_0001099	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	No
ERR413399	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caki-1	http://www.ebi.ac.uk/efo/EFO_0002149	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	49 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Caki-1	http://www.ebi.ac.uk/efo/EFO_0002149	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
ERR413400	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caki-2	http://www.ebi.ac.uk/efo/EFO_0002150	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	69 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		FBS, 90%; DMSO, 10%		Caki-2	http://www.ebi.ac.uk/efo/EFO_0002150	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	Yes
ERR413401	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL 27	http://www.ebi.ac.uk/efo/EFO_0006366	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	56 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CAL 27	http://www.ebi.ac.uk/efo/EFO_0006366	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
ERR413402	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL 54	http://www.ebi.ac.uk/efo/EFO_0002125	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES		Complete growth medium, 90%; DMSO, 10%		CAL 54	http://www.ebi.ac.uk/efo/EFO_0002125	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR413403	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-120	http://www.ebi.ac.uk/efo/EFO_0005356	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	43 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CAL-120	http://www.ebi.ac.uk/efo/EFO_0005356	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413404	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-12T	http://www.ebi.ac.uk/efo/EFO_0006547	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	not available		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CAL-12T	http://www.ebi.ac.uk/efo/EFO_0006547	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413405	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-148	http://www.ebi.ac.uk/efo/EFO_0005357	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	58 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 10ng/ml EGF, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CAL-148	http://www.ebi.ac.uk/efo/EFO_0005357	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413406	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-85-1	http://www.ebi.ac.uk/efo/EFO_0005359	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	35 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		DMEM, 10% FBS, 2mM L-glutamine		Complete growth medium, 90%; DMSO, 10%		CAL-85-1	http://www.ebi.ac.uk/efo/EFO_0005359	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413407	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL51	http://www.ebi.ac.uk/efo/EFO_0005358	breast	http://purl.obolibrary.org/obo/UBERON_0000310	effusion, pleural	http://purl.obolibrary.org/obo/UBERON_0000175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	45 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		CAL51	http://www.ebi.ac.uk/efo/EFO_0005358	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413408	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-1	http://www.ebi.ac.uk/efo/EFO_0002151	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	47 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Calu-1	http://www.ebi.ac.uk/efo/EFO_0002151	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	Yes
ERR413409	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-3	http://www.ebi.ac.uk/efo/EFO_0002819	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	25 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Calu-3	http://www.ebi.ac.uk/efo/EFO_0002819	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413410	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-6	http://www.ebi.ac.uk/efo/EFO_0002152	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung anaplastic carcinoma	http://www.ebi.ac.uk/efo/EFO_1000016	61 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		Calu-6	http://www.ebi.ac.uk/efo/EFO_0002152	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung anaplastic carcinoma	http://www.ebi.ac.uk/efo/EFO_1000016	Yes
ERR413411	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAMA-1	http://www.ebi.ac.uk/efo/EFO_0001100	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	51 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		Complete Growth media, 10% DMSO		CAMA-1	http://www.ebi.ac.uk/efo/EFO_0001100	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
ERR413412	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caov-3	http://www.ebi.ac.uk/efo/EFO_0002148	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	54 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		FBS, 90%; DMSO, 10%		Caov-3	http://www.ebi.ac.uk/efo/EFO_0002148	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR413413	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Capan-1	http://www.ebi.ac.uk/efo/EFO_0002153	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	40 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		Capan-1	http://www.ebi.ac.uk/efo/EFO_0002153	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	No
ERR413414	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Capan-2	http://www.ebi.ac.uk/efo/EFO_0002154	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	56 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		Capan-2	http://www.ebi.ac.uk/efo/EFO_0002154	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
