cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
RT-112	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	no available	female	no available	no available
RS-5	Homo sapiens	fibroblast	sarcomatoid mesothelioma	no available	no available	no available	no available	no available
RS4;11	Homo sapiens	hematopoietic system and lymphoid system	adult B acute lymphoblastic leukemia	no available	no available	no available	no available	no available
RPMI-8402	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
Panc 03.27	Homo sapiens	pancreas	pancreatic adenocarcinoma	65 year	no available	female	no available	no available
RPMI-7951	Homo sapiens	skin	melanoma	18 year	no available	not available	no available	no available
RMUG-S	Homo sapiens	ovary	ovarian mucinous cystadenocarcinoma; ovarian adenocarcinoma	62 year	no available	female	no available	no available
RMG-I	Homo sapiens	ovary	ovarian clear cell adenocarcinoma; ovarian carcinoma	not available	no available	not available	no available	no available
NU-DHL-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma	no available	no available	no available	no available	no available
NU-DUL-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	not available	no available	not available	no available	no available
NMC-G1	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
NOMO-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	no available	no available	no available	no available	no available
NHAHTDD	Homo sapiens	central nervous system	normal cell line	no available	no available	no available	no available	no available
OVCAR-3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
NCO2	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
NH-6	Homo sapiens	autonomic ganglion	adrenal gland neuroblastoma	no available	no available	no available	no available	no available
SU-DHL-1	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma; non-Hodgkin's lymphoma	10 year	no available	male	no available	no available
NUGC-2	Homo sapiens	stomach	gastric adenocarcinoma	56 year	no available	female	no available	no available
NUGC-3	Homo sapiens	stomach	gastric adenocarcinoma	72 year	no available	male	no available	no available
HCC-56	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
HCC70	Homo sapiens	breast	breast ductal adenocarcinoma	49 year	no available	female	no available	no available
HCC461	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
HCC515	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
HCC4006	Homo sapiens	lung	lung adenocarcinoma	50 year	no available	male	no available	no available
HCC-44	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
HCC-366	Homo sapiens	lung	adenosquamous lung carcinoma	no available	no available	no available	no available	no available
HCC38	Homo sapiens	breast	breast ductal adenocarcinoma	50 year	not available	female; not available	no available	no available
HCC-78	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
HCC827 GR5	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H747	Homo sapiens	large intestine	cecum adenocarcinoma; colorectal adenocarcinoma	no available	no available	no available	no available	no available
TE 441.T	Homo sapiens	soft tissue	rhabdomyosarcoma	no available	no available	no available	no available	no available
TE-1	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
NCI-H727	Homo sapiens	lung	lung carcinoid tumor	65 year	no available	female	no available	no available
SNU-C5	Homo sapiens	large intestine	cecum adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
TE-6	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	male	no available	no available
TE 617.T	Homo sapiens	soft tissue	rhabdomyosarcoma	no available	no available	no available	no available	no available
TE-5	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
TE-4	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	female	no available	no available
SNU-878	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
SNU-886	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
SNU-840	Homo sapiens	ovary	malignant ovarian Brenner tumor	no available	no available	no available	no available	no available
SNU-869	Homo sapiens	biliary system	ampulla of Vater adenocarcinoma	no available	no available	no available	no available	no available
SNU-C1	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	71 year	no available	male	no available	no available
SNU-C2A	Homo sapiens	large intestine	cecum adenocarcinoma	no available	no available	no available	no available	no available
SNU-899	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	no available	no available	no available	no available	no available
SNU-8	Homo sapiens	ovary	ovarian serous cystadenocarcinoma	no available	no available	no available	no available	no available
L-1236	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	no available	no available	no available
L3.3	Homo sapiens	pancreas	pancreatic adenosquamous carcinoma	no available	no available	no available	no available	no available
KYSE-520	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	58 year	no available	female	no available	no available
KYSE-70	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	77 year	no available	male	no available	no available
JHH-1	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
JH-EsoAd1	Homo sapiens	esophagus	Barrett adenocarcinoma	no available	no available	no available	no available	no available
L-363	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; leukemia	not available	no available	not available	no available	no available
L-428	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	no available	no available	no available
IST-MES2	Homo sapiens	pleura	mesothelioma	no available	no available	no available	no available	no available
IST-MES1	Homo sapiens	pleura	mesothelioma	no available	no available	female	no available	no available
JeKo-1	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma	no available	no available	no available	no available	no available
J82	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
IOMM-Lee	Homo sapiens	central nervous system	meningioma	no available	no available	no available	no available	no available
INA-6	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	no available	no available	no available	no available	no available
Ishikawa (Heraklio) 02 ER-	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
IPC-298	Homo sapiens	skin	cutaneous melanoma; melanoma	64 year	no available	female	no available	no available
NCI-N87	Homo sapiens	stomach	gastric tubular adenocarcinoma; gastric carcinoma	not available	no available	not available	no available	no available
SK-PN-DW	Homo sapiens	bone	primitive neuroectodermal tumor; Ewing sarcoma	no available	no available	male	no available	no available
SK-N-MC	Homo sapiens	bone	Askin tumor	no available	no available	no available	no available	no available
NCI-H929	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
SK-N-SH	Homo sapiens	autonomic ganglion	neuroblastoma	4 year	no available	female	no available	no available
KYSE-510	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	67 year	no available	female	no available	no available
SK-N-BE(2)	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
SK-N-AS	Homo sapiens	autonomic ganglion	neuroblastoma	not available	no available	not available	no available	no available
SK-MM-2	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; leukemia	not available	no available	not available	no available	no available
SW48	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
SK-OV-3	Homo sapiens	ovary	ovarian serous cystadenocarcinoma; ovarian adenocarcinoma	not available	no available	female	no available	no available
SK-RC-20	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
Caov-3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma	54 year	no available	female	no available	no available
Caov-4	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
OCI-LY-19	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	27 year	no available	female	no available	no available
