cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
TGBC2TKB	no available	Biliary Tract	Biliary Tract Carcinoma	Gall Bladder	Undifferentiated Gallbladder Carcinoma	CVCL_3339	Homo Sapiens	Female	East Asian	no available	SIDM00268	SIDS00709	SIDP00633
SSP-25	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_4902	Homo Sapiens	Female	East Asian	no available	SIDM00275	SIDS00664	SIDP00592
Tanoue	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Unknown	Childhood B Acute Lymphoblastic Leukemia	CVCL_1852	Homo Sapiens	Male	Unknown	10	SIDM00288	SIDS00667	SIDP00595
LU-134-B	no available	Lung	Small Cell Lung Carcinoma	Lung	Small Cell Lung Carcinoma	CVCL_1388	Homo Sapiens	Male	East Asian	80	SIDM00295	SIDS00682	SIDP00609
SF539	SF-539 BT	Central Nervous System	Glioblastoma	Unknown	Gliosarcoma	CVCL_1691	Homo Sapiens	Female	Unknown	34	SIDM00083	SIDS00854	SIDP00761
KP-N-S19s	KP-N-SI9s	Peripheral Nervous System	Neuroblastoma	Lymph Node	Neuroblastoma	CVCL_1340	Homo Sapiens	Unknown	Unknown	no available	SIDM00016	SIDS00767	SIDP00688
SNU-1196	no available	Biliary Tract	Biliary Tract Carcinoma	Hepatic Duct Bifurcation	Hilar Cholangiocarcinoma	CVCL_5015	Homo Sapiens	Unknown	East Asian	no available	SIDM00163	SIDS00622	SIDP00551
Malme-3M	no available	Skin	Melanoma	Lung	Melanoma	CVCL_1438	Homo Sapiens	Male	White	43	SIDM00011	SIDS00772	SIDP00692
SNU-1041	no available	Head and Neck	Head and Neck Carcinoma	Pharynx	Hypopharyngeal Squamous Cell Carcinoma	CVCL_L085	Homo Sapiens	Male	Unknown	no available	SIDM00173	SIDS00613	SIDP00542
HuH-6	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatoblastoma	CVCL_4381	Homo Sapiens	Male	East Asian	1	SIDM00062	SIDS00759	SIDP00681
FTC-238	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_2447	Homo Sapiens	Male	Unknown	42	SIDM00228	SIDS00595	SIDP00525
MOLT-3	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral blood	Adult T Acute Lymphoblastic Leukemia	CVCL_0624	Homo Sapiens	Male	Unknown	19	SIDM00153	SIDS00831	SIDP00742
PL18	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Adenocarcinoma	CVCL_X507	Homo Sapiens	Unknown	Unknown	no available	SIDM00054	SIDS00729	SIDP00653
BICR10	no available	Head and Neck	Oral Cavity Carcinoma	Unknown	Oral Cavity Squamous Cell Carcinoma	CVCL_2307	Homo Sapiens	Female	White	no available	SIDM00077	SIDS00803	SIDP00716
DiFi	no available	Large Intestine	Colorectal Carcinoma	Ascites	Colorectal Carcinoma	CVCL_6895	Homo Sapiens	Female	Unknown	46	SIDM00049	SIDS00734	SIDP00658
NCI-H2373	no available	Lung	Mesothelioma	Unknown	Pleural Sarcomatoid Mesothelioma	CVCL_A533	Homo Sapiens	Male	Unknown	no available	SIDM00103	SIDS00873	SIDP00777
NCI-H2595	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_A545	Homo Sapiens	Male	Unknown	no available	SIDM00100	SIDS00876	SIDP00780
NCI-H2722	no available	Lung	Mesothelioma	Unknown	Malignant Pleural Mesothelioma	CVCL_U994	Homo Sapiens	Male	Unknown	no available	SIDM00099	SIDS00877	SIDP00781
NCI-H2731	no available	Lung	Mesothelioma	Unknown	Pleural Sarcomatoid Mesothelioma	CVCL_U995	Homo Sapiens	Male	Unknown	no available	SIDM00098	SIDS00878	SIDP00782
HCC2998	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Adenocarcinoma	CVCL_1266	Homo Sapiens	Unknown	Unknown	no available	SIDM00118	SIDS00819	SIDP00732
HCE-4	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1271	Homo Sapiens	Female	Unknown	no available	SIDM00052	SIDS00731	SIDP00655
HCE-T	no available	Eye	Non-Cancerous	Cornea	Non-Cancerous	CVCL_1272	Homo Sapiens	Female	Unknown	49	SIDM00075	SIDS00754	SIDP00677
HLE	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_1281	Homo Sapiens	Male	Unknown	68	SIDM00064	SIDS00757	SIDP00679
Hs-944-T	no available	Skin	Melanoma	Unknown	Cutaneous Melanoma	CVCL_1040	Homo Sapiens	Unknown	Unknown	no available	SIDM00063	SIDS00758	SIDP00680
K5	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_1322	Homo Sapiens	Male	Unknown	no available	SIDM00056	SIDS00745	SIDP00669
M00921	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_S808	Homo Sapiens	Female	Unknown	64	SIDM00178	SIDS00645	SIDP00574
M120327_3	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_VS56	Homo Sapiens	Unknown	Unknown	no available	SIDM00013	SIDS00770	SIDP00691
M980513	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_S675	Homo Sapiens	Female	Unknown	42	SIDM00177	SIDS00646	SIDP00575
MZ1-PC	MZ-PC-1	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_1434	Homo Sapiens	Male	Unknown	no available	SIDM00053	SIDS00730	SIDP00654
OVCAR-8	NIH:OVCAR-8;OVCA8	Ovary	Ovarian Carcinoma	Unknown	High Grade Ovarian Serous Adenocarcinoma	CVCL_1629	Homo Sapiens	Female	Unknown	64	SIDM00090	SIDS00847	SIDP00755
PC-3	no available	Prostate	Prostate Carcinoma	Bone	Prostate Carcinoma	CVCL_0035	Homo Sapiens	Male	White	62	SIDM00088	SIDS00849	SIDP00756
RPMI-8226	RPMI no 8226;RPMI 8226/S;GM02132;GM2132;Simpson	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral blood	Plasma Cell Myeloma	CVCL_0014	Homo Sapiens	Male	Unknown	61	SIDM00087	SIDS00850	SIDP00757
RXF393	RXF 393L;RXF 393NL	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1673	Homo Sapiens	Male	Unknown	54	SIDM00086	SIDS00851	SIDP00758
SF268	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_1689	Homo Sapiens	Female	Unknown	24	SIDM00085	SIDS00852	SIDP00759
SF295	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1690	Homo Sapiens	Female	Unknown	67	SIDM00084	SIDS00853	SIDP00760
SK-MEL-28	SKML-28;AU-Mel;P-36	Skin	Melanoma	Unknown	Cutaneous Melanoma	CVCL_0526	Homo Sapiens	Male	Unknown	51	SIDM00081	SIDS00856	SIDP00763
SK-MEL-5	AA-Mel	Skin	Melanoma	Lymph Node	Cutaneous Melanoma	CVCL_0527	Homo Sapiens	Female	White	24	SIDM00080	SIDS00857	SIDP00764
SN12C	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1705	Homo Sapiens	Male	Unknown	no available	SIDM00094	SIDS00859	SIDP00766
SNB75	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1706	Homo Sapiens	Female	Unknown	78	SIDM00095	SIDS00860	SIDP00767
T47D	T47D:A	Breast	Breast Carcinoma	Pleural Effusion	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_0553	Homo Sapiens	Female	Unknown	54	SIDM00097	SIDS00862	SIDP00769
U031	UO-31	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1911	Homo Sapiens	Female	Unknown	no available	SIDM00112	SIDS00864	SIDP00771
UACC-62	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1780	Homo Sapiens	Unknown	Unknown	no available	SIDM00107	SIDS00869	SIDP00774
COLO-794	no available	Skin	Melanoma	Skin	Melanoma	CVCL_2408	Homo Sapiens	Male	Unknown	14	SIDM00514	SIDS00889	SIDP00792
SNG-P	no available	Endometrium	Endometrial Carcinoma	Endometrium	Endometrial Adenocarcinoma	CVCL_S914	Homo Sapiens	Female	Unknown	52	SIDM00372	SIDS01069	SIDP00958
SNU-1079	NCI-SNU-1079	Biliary Tract	Biliary Tract Carcinoma	Intrahepatic Duct	Cholangiocarcinoma	CVCL_5008	Homo Sapiens	Unknown	East Asian	no available	SIDM00164	SIDS00621	SIDP00550
CFPAC-1	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Ductal Adenocarcinoma	CVCL_1119	Homo Sapiens	Male	White	26	SIDM00130	SIDS00807	SIDP00720
SNU-685	NCI-SNU-685	Uterus	Other Solid Cancers	Endometrium	Uterine Corpus Carcinosarcoma	CVCL_5083	Homo Sapiens	Female	East Asian	70	SIDM00165	SIDS00620	SIDP00549
SNU-1197	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_5016	Homo Sapiens	Male	East Asian	70	SIDM00171	SIDS00614	SIDP00543
SNU-1066	no available	Head and Neck	Head and Neck Carcinoma	Larynx (Glottic)	Laryngeal Squamous Cell Carcinoma	CVCL_5005	Homo Sapiens	Male	East Asian	62	SIDM00170	SIDS00615	SIDP00544
SNU-899	NCI-SNU-899	Head and Neck	Head and Neck Carcinoma	Larynx (Glottic)	Laryngeal Squamous Cell Carcinoma	CVCL_5105	Homo Sapiens	Male	East Asian	56	SIDM00169	SIDS00616	SIDP00545
MKN74	no available	Stomach	Gastric Carcinoma	Liver	Gastric Tubular Adenocarcinoma	CVCL_2791	Homo Sapiens	Male	East Asian	37	SIDM00248	SIDS00690	SIDP00616
786-0	786-O;786-O RCC;RCC 786-O;RCC_7860;786-0WT	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1051	Homo Sapiens	Male	White	58	SIDM00125	SIDS00812	SIDP00725
ACHN	no available	Kidney	Kidney Carcinoma	Pleural Effusion	Papillary Renal Cell Carcinoma	CVCL_1067	Homo Sapiens	Male	White	22	SIDM00123	SIDS00814	SIDP00727
BB49-HNC	BB49-SCCHN	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_1077	Homo Sapiens	Unknown	Unknown	no available	SIDM00174	SIDS00630	SIDP00559
BB65-RCC	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1078	Homo Sapiens	Male	Unknown	no available	SIDM00191	SIDS00631	SIDP00560
BT-549	BT-B	Breast	Breast Carcinoma	Unknown	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_1092	Homo Sapiens	Female	White	72	SIDM00122	SIDS00815	SIDP00728
BxPC-3	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_0186	Homo Sapiens	Female	Unknown	61	SIDM00132	SIDS00805	SIDP00718
CAS-1	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1117	Homo Sapiens	Male	Unknown	63	SIDM00212	SIDS00592	SIDP00524
CCF-STTG1	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_1118	Homo Sapiens	Female	White	68	SIDM00131	SIDS00806	SIDP00719
COLO-668	no available	Lung	Small Cell Lung Carcinoma	Brain	Small Cell Lung Carcinoma	CVCL_1128	Homo Sapiens	Female	Unknown	47	SIDM00143	SIDS00833	SIDP00743
COLO-792	no available	Skin	Melanoma	Brain	Melanoma	CVCL_1134	Homo Sapiens	Male	Unknown	62	SIDM00140	SIDS00836	SIDP00745
CP66-MEL	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1144	Homo Sapiens	Male	Unknown	no available	SIDM00190	SIDS00633	SIDP00562
CS1	no available	Bone	Chondrosarcoma	Unknown	Chondrosarcoma	CVCL_T023	Homo Sapiens	Male	Unknown	no available	SIDM00199	SIDS01184	SIDP01070
D-423MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1160	Homo Sapiens	Male	Unknown	no available	SIDM00209	SIDS00575	SIDP00508
D-542MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1164	Homo Sapiens	Female	Unknown	no available	SIDM00207	SIDS00577	SIDP00510
D-566MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1166	Homo Sapiens	Male	Unknown	no available	SIDM00206	SIDS00578	SIDP00511
EW-11	IARC-EW11	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1209	Homo Sapiens	Female	Unknown	11	SIDM00203	SIDS00581	SIDP00513
EW-16	IARC-EW16	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1212	Homo Sapiens	Male	Unknown	no available	SIDM00198	SIDS00586	SIDP00518
EW-3	IARC-EW3	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1216	Homo Sapiens	Male	Unknown	14	SIDM00202	SIDS00582	SIDP00514
EW-7	IARC-EW7	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1217	Homo Sapiens	Female	Unknown	20	SIDM00201	SIDS00583	SIDP00515
NCI-H2369	no available	Lung	Mesothelioma	Unknown	Malignant Pleural Mesothelioma	CVCL_A532	Homo Sapiens	Male	Unknown	no available	SIDM00104	SIDS00872	SIDP00776
NCI-H2461	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_A536	Homo Sapiens	Male	Unknown	no available	SIDM00102	SIDS00874	SIDP00778
NCI-H2591	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_A543	Homo Sapiens	Male	Unknown	no available	SIDM00101	SIDS00875	SIDP00779
NCI-H2795	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_U996	Homo Sapiens	Male	Unknown	no available	SIDM00154	SIDS00879	SIDP00783
NCI-H513	HUT513	Lung	Non-Small Cell Lung Carcinoma	Unknown	Adenosquamous Lung Carcinoma	CVCL_A570	Homo Sapiens	Male	Unknown	no available	SIDM00114	SIDS00870	SIDP00775
HT-29	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Adenocarcinoma	CVCL_0320	Homo Sapiens	Female	White	44	SIDM00136	SIDS00823	SIDP00736
JHU-022	JHU-022-SCC;JHU-O22;JHU-22;HNSCC 022	Head and Neck	Oral Cavity Carcinoma	Unknown	Oral Cavity Squamous Cell Carcinoma	CVCL_5991	Homo Sapiens	Male	Unknown	no available	SIDM00127	SIDS00810	SIDP00723
KP-N-YS	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1342	Homo Sapiens	Male	Unknown	no available	SIDM00157	SIDS00628	SIDP00557
LB373-MEL-D	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1367	Homo Sapiens	Female	Unknown	no available	SIDM00184	SIDS00639	SIDP00568
LB771-HNC	LB771-HNSCC;LB771-ORL	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_1369	Homo Sapiens	Male	Unknown	no available	SIDM00182	SIDS00641	SIDP00570
LB996-RCC	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1371	Homo Sapiens	Male	Unknown	no available	SIDM00180	SIDS00643	SIDP00572
MDA-MB-231	MDA-231	Breast	Breast Carcinoma	Pleural Effusion	Breast Adenocarcinoma	CVCL_0062	Homo Sapiens	Female	White	51	SIDM00146	SIDS00830	SIDP00741
MET-2B	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_VS57	Homo Sapiens	Unknown	Unknown	no available	SIDM00221	SIDS00648	SIDP00577
MZ2-MEL	MZ-MEL-2	Skin	Melanoma	Unknown	Melanoma	CVCL_1435	Homo Sapiens	Unknown	Unknown	no available	SIDM00179	SIDS00644	SIDP00573
NCI-H3122	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_5160	Homo Sapiens	Male	Unknown	no available	SIDM00137	SIDS00839	SIDP00748
NCI-H322M	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Bronchiolo-Alveolar Lung Carcinoma	CVCL_1557	Homo Sapiens	Male	Unknown	no available	SIDM00117	SIDS00840	SIDP00749
NCI-H522	NCI-522	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1567	Homo Sapiens	Male	White	58	SIDM00116	SIDS00842	SIDP00751
OVCAR-3	NIH:OVCAR-3	Ovary	Ovarian Carcinoma	Ascites	High Grade Ovarian Serous Adenocarcinoma	CVCL_0465	Homo Sapiens	Female	White	60	SIDM00105	SIDS00843	SIDP00752
PCI-6A	PCI-06A;PCI-6T	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_C173	Homo Sapiens	Male	Unknown	no available	SIDM00115	SIDS00728	SIDP00652
TK10	no available	Kidney	Kidney Carcinoma	Unknown	Clear Cell Renal Cell Carcinoma	CVCL_1773	Homo Sapiens	Male	Unknown	43	SIDM00113	SIDS00863	SIDP00770
U251	U-251MG;U251n	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_0021	Homo Sapiens	Male	Unknown	no available	SIDM00111	SIDS00865	SIDP00772
UACC-257	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1779	Homo Sapiens	Unknown	Unknown	no available	SIDM00108	SIDS00868	SIDP00773
TMH-1	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Papillary Thyroid Carcinoma	CVCL_3219	Homo Sapiens	Male	East Asian	79	SIDM00601	SIDS00977	SIDP00874
KNS-81	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_2799	Homo Sapiens	Male	Unknown	65	SIDM00605	SIDS00992	SIDP00889
RERF-LC-OK	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_3154	Homo Sapiens	Female	Unknown	no available	SIDM00385	SIDS01064	SIDP00954
SCC152	no available	Head and Neck	Head and Neck Carcinoma	Hypopharynx	Head and Neck Squamous Cell Carcinoma	CVCL_C058	Homo Sapiens	Male	White	46	SIDM00398	SIDS01154	SIDP01040
MS-1	no available	Skin	Other Solid Cancers	Unknown	Merkel Cell Carcinoma	CVCL_E995	Homo Sapiens	Unknown	Unknown	no available	SIDM00408	SIDS01183	SIDP01069
MOLT-17	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_2125	Homo Sapiens	Female	Unknown	5	SIDM00430	SIDS01124	SIDP01011
MOLT-14	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Bone marrow	Childhood T Acute Lymphoblastic Leukemia	CVCL_1423	Homo Sapiens	Female	Unknown	2	SIDM00432	SIDS01123	SIDP01010
hTERT-RPE-1	no available	Eye	Non-Cancerous	Retina	Non-Cancerous	CVCL_4388	Homo Sapiens	Female	Unknown	no available	SIDM00409	SIDS01182	SIDP01068
BB30-HNC	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_1076	Homo Sapiens	Female	Unknown	no available	SIDM00172	SIDS00629	SIDP00558
CHSA8926	no available	Bone	Chondrosarcoma	Unknown	Chondrosarcoma	CVCL_X485	Homo Sapiens	Male	Unknown	no available	SIDM00176	SIDS00647	SIDP00576
CP50-MEL-B	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1143	Homo Sapiens	Male	Unknown	no available	SIDM00175	SIDS00632	SIDP00561
CTB-1	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Unknown	Diffuse Large B-Cell Lymphoma	CVCL_1149	Homo Sapiens	Male	East Asian	70	SIDM00283	SIDS00656	SIDP00585
D-502MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1162	Homo Sapiens	Unknown	Unknown	no available	SIDM00208	SIDS00576	SIDP00509
EC-GI-10	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Lymph Node	Esophageal Squamous Cell Carcinoma	CVCL_1187	Homo Sapiens	Male	East Asian	65	SIDM00278	SIDS00661	SIDP00590
ECC12	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Small Cell Neuroendocrine Carcinoma	CVCL_1189	Homo Sapiens	Male	East Asian	63	SIDM00279	SIDS00660	SIDP00589
ES1	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1198	Homo Sapiens	Female	Unknown	5	SIDM00266	SIDS00711	SIDP00635
ES4	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1200	Homo Sapiens	Male	Unknown	18	SIDM00264	SIDS00713	SIDP00637
ES6	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1202	Homo Sapiens	Male	Unknown	17	SIDM00262	SIDS00715	SIDP00639
ES7	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1203	Homo Sapiens	Male	Unknown	15	SIDM00269	SIDS00716	SIDP00640
ES8	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1204	Homo Sapiens	Male	Unknown	10	SIDM00261	SIDS00717	SIDP00641
ETK-1	no available	Biliary Tract	Biliary Tract Carcinoma	Unknown	Intrahepatic Cholangiocarcinoma	CVCL_1206	Homo Sapiens	Female	East Asian	no available	SIDM00276	SIDS00663	SIDP00592
EW-18	IARC-EW-18	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1213	Homo Sapiens	Unknown	Unknown	no available	SIDM00197	SIDS00587	SIDP00519
EW-22	IARC-EW-22	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1214	Homo Sapiens	Unknown	Unknown	no available	SIDM00196	SIDS00588	SIDP00520
EW-24	IARC-EW-24	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1215	Homo Sapiens	Unknown	Unknown	no available	SIDM00195	SIDS00589	SIDP00521
EoL-1-cell	AML-EOL-1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Chronic Eosinophilic Leukemia	CVCL_0258	Homo Sapiens	Male	East Asian	33	SIDM00277	SIDS00662	SIDP00591
FTC-133	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_1219	Homo Sapiens	Male	Unknown	42	SIDM00213	SIDS00593	SIDP00525
GCIY	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Adenocarcinoma	CVCL_1228	Homo Sapiens	Female	East Asian	no available	SIDM00274	SIDS00665	SIDP00593
CEMC1	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Unknown	Childhood T Acute Lymphoblastic Leukemia	CVCL_3496	Homo Sapiens	Female	White	4	SIDM01256	SIDS00816	SIDP00729
GI-ME-N	Gimen1	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1232	Homo Sapiens	Female	White	2	SIDM00227	SIDS00596	SIDP00526
HA7-RCC	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1241	Homo Sapiens	Male	Unknown	no available	SIDM00188	SIDS00635	SIDP00564
HOP-92	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Non-Small Cell Lung Carcinoma	CVCL_1286	Homo Sapiens	Male	Unknown	no available	SIDM00134	SIDS00821	SIDP00734
IST-SL1	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1313	Homo Sapiens	Male	Unknown	no available	SIDM00223	SIDS00600	SIDP00530
LB2241-RCC	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1365	Homo Sapiens	Male	Unknown	no available	SIDM00186	SIDS00637	SIDP00566
LB2518-MEL	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1366	Homo Sapiens	Female	Unknown	no available	SIDM00185	SIDS00638	SIDP00567
LB647-SCLC	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1368	Homo Sapiens	Male	Unknown	no available	SIDM00183	SIDS00640	SIDP00569
LB831-BLC	no available	Bladder	Bladder Carcinoma	Unknown	Bladder Carcinoma	CVCL_1370	Homo Sapiens	Male	Unknown	no available	SIDM00181	SIDS00642	SIDP00571
LOXIMVI	no available	Skin	Melanoma	Unknown	Amelanotic Melanoma	CVCL_1381	Homo Sapiens	Male	Unknown	no available	SIDM00149	SIDS00827	SIDP00739
MKN28	no available	Stomach	Gastric Carcinoma	Liver	Gastric Tubular Adenocarcinoma	CVCL_1416	Homo Sapiens	Male	East Asian	37	SIDM00260	SIDS00689	SIDP00616
MKN45	no available	Stomach	Gastric Carcinoma	liver	Gastric Adenocarcinoma	CVCL_0434	Homo Sapiens	Female	East Asian	62	SIDM00247	SIDS00691	SIDP00617
MPP-89	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_1427	Homo Sapiens	Male	Unknown	67	SIDM00222	SIDS00602	SIDP00532
MS-1	MS-1-L	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1429	Homo Sapiens	Male	East Asian	54	SIDM00245	SIDS00693	SIDP00619
NB17	SJNB-17;NB17-DH	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1445	Homo Sapiens	Female	Unknown	1	SIDM00255	SIDS00722	SIDP00646
NB5	SJNB-5;NB5-DH;NJF	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_8822	Homo Sapiens	Female	Unknown	2	SIDM00254	SIDS00723	SIDP00647
NB7	SJNB-7;NB7-DH;NCG;SJ-NCG	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_8824	Homo Sapiens	Male	Unknown	0	SIDM00156	SIDS00725	SIDP00649
NCI-H226	HUT-226	Lung	Mesothelioma	Pleural Effusion	Pleural Epithelioid Mesothelioma	CVCL_1544	Homo Sapiens	Male	Unknown	no available	SIDM00139	SIDS00837	SIDP00746
NCI-H23	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1547	Homo Sapiens	Male	Black	51	SIDM00138	SIDS00838	SIDP00747
NEC8	no available	Testis	Other Solid Cancers	Unknown	Testicular Embryonal Carcinoma	CVCL_1604	Homo Sapiens	Male	East Asian	24	SIDM00243	SIDS00695	SIDP00621
OS-RC-2	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1626	Homo Sapiens	Male	East Asian	no available	SIDM00239	SIDS00699	SIDP00625
PC-14	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1640	Homo Sapiens	Male	East Asian	no available	SIDM00237	SIDS00701	SIDP00627
PCI-15A	PCI-15T	Head and Neck	Head and Neck Carcinoma	Unknown	Pyriform Fossa Squamous Cell Carcinoma	CVCL_C184	Homo Sapiens	Male	Unknown	no available	SIDM00270	SIDS00726	SIDP00650
PCI-38	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_M471	Homo Sapiens	Unknown	Unknown	no available	SIDM00155	SIDS00727	SIDP00651
