cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
HOS	HOS	CVCL_0312	HOS cell	Homo Sapiens	Bone	Right femur	13Y	Juvenile	Female	Caucasian	Osteosarcoma	no available	cell	HOS	curated
HPAF-II	HPAF-II	CVCL_0313	HPAF-2 cell	Homo Sapiens	Pancreas	Ascites; Peritoneal ascitic fluid	44Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	CD18/HPAF; HPAF-II/CD18; CD18; HPAF-II CELL; HPAF2 CELL; HPAF-2; HPAF/CD18; HPAFII CELL; HPAF II; HPAF2; CD 18; CD-18; HPAFII	curated
HSC-5	HSC-5 [Human skin squamous cell carcinoma]	CVCL_0314	no available	Homo Sapiens	Skin	Skin	75Y	Elderly	Male	Japanese	Skin squamous cell carcinoma	no available	cell	HSC5	curated
HT-1080	HT-1080	CVCL_0317	HT-1080 cell	Homo Sapiens	Soft Tissue	Bone; Acetabulum; Pelvis	35Y	Adult	Male	Caucasian	Fibrosarcoma	no available	cell	HT 1080; HT 1080 CELL; HT-1080; HT 1080.T; HT1080; HT1080 CELL	curated
HT-144	HT-144	CVCL_0318	HT-144 cell	Homo Sapiens	Skin	Hypodermis; Subcutaneous tissue	29Y	Adult	Male	Caucasian	Melanoma	no available	cell	HT144MEL; HT144; HT144-MEL; HT 144	curated
HT-29	HT-29	CVCL_0320	HT-29 cell	Homo Sapiens	Colon	Colon	44Y	Adult	Female	Caucasian	Colon adenocarcinoma	no available	cell	HT29 CELL; HT29; HT 29; HT29-CRC CELL	curated
HuCCT1	HuCC-T1	CVCL_0324	HuCCT-1 cell	Homo Sapiens	Biliary Tract	Ascites; Bile duct	56Y	Adult	Male	Japanese	Intrahepatic cholangiocarcinoma	no available	cell	HUCC-T1; HUCCT-1; HUCCT1 CELL; HUCCT1; HUCC-T1 CELL	curated
Hep3B2-1-7	Hep 3B2.1-7	CVCL_0326	HEP-3B cell	Homo Sapiens	Liver	Liver	8Y	Children	Male	African American	Pediatric hepatocellular carcinoma	no available	cell	HEP3B2 CELL; HEP 3B2; HEP3B; HEP 3B CELL; HEP-3B; HEP3B2; HEP 3B2 CELL; HEP 3B2_1-7; HEP 3B2.1-7 CELL; HEP-3B2 CELL; HEP-3B  CELL; HEP-3B2; HEP3B CELL; HEP3B217; HEP 3B	curated
Hs-294-T	Hs 294T	CVCL_0331	HS-294T cell	Homo Sapiens	Skin	Lymph node	56Y	Adult	Male	Caucasian	Melanoma	no available	cell	HS-294; HS294T; HS-294T; HS-294 CELL; HS-294-T; HS294; HS294T CELL; HS 294T CELL; HS294 CELL	curated
Hs-578-T	Hs 578T	CVCL_0332	Hs-578T cell	Homo Sapiens	Breast	Breast	74Y	Elderly	Female	Caucasian	Invasive breast carcinoma	no available	cell	"HS 578T; HS578; HS578 CELL; HOMO SAPIENS NO. 578, TUMOR CELLS; 578T; HS-578-T; HS-578T; HS_578T; HS0578T; HS578T; HS-578-T CELL; HS578T CELL; HS 578.T; HS 578T CELL"	curated
Hs-746T	Hs 746.T	CVCL_0333	no available	Homo Sapiens	Stomach	Skeletal muscle; Left leg	74Y	Elderly	Male	Caucasian	Gastric adenocarcinoma	no available	cell	HS746T; 746T; HS746-T; HS 746T; HS-746T	curated
Hs-766T	Hs 766T	CVCL_0334	HS-766T cell	Homo Sapiens	Pancreas	Lymph node	46Y	Adult	Male	Caucasian	Pancreatic adenocarcinoma	no available	cell	HS-766T; HS766T; HS 766; H766T; HS 766.T; 766T; HS-766-T; HS 766T; HS766T CELL; HS 766T CELL	curated
HuH-7	Huh-7	CVCL_0336	HuH-7 cell	Homo Sapiens	Liver	Liver	57Y	Adult	Male	Japanese	Adult hepatocellular carcinoma	no available	cell	JTC-39; HUH7; HUH7.0; HUH-7; HUH7 CELL; JAPANESE TISSUE CULTURE-39; HUH-7 CELL	curated
HuT-78	HuT 78	CVCL_0337	HUT-78 cell	Homo Sapiens	Blood	Peripheral blood	53Y	Adult	Male	Caucasian	Sezary syndrome	T cell	cell	NCI-H78; HUT 78; HUT-78; HUT78 CELL; HUT78; HUT 78 CELL	curated
IMR-32	IMR-32	CVCL_0346	IMR-32 cell	Homo Sapiens	Peripheral Nervous System	Abdominal mass; Abdomen	1Y	Infant	Male	Caucasian	Neuroblastoma	no available	cell	GM3320C; AG3320 CELL; IMR 32 CELL; AG3320; IMR32 CELL; NAN; GM3320C CELL; INSTITUTE FOR MEDICAL RESEARCH-32; AG03320 CELL; INSTITUTE FOR MEDICAL RESEARCH-32 CELL; GM03320 CELL; GM3320D CELL; IMR32; AG03320; GM03320D; GM03320; IMR 32	curated
J82	J82	CVCL_0359	J-82 cell	Homo Sapiens	Bladder	Urinary bladder	58Y	Adult	Male	Caucasian; Swedish	Bladder carcinoma	no available	cell	J82/WT; J-82; J 82; J82 CELL; J82COT; J82 COT; J82 CO'T	curated
JAR	JAR	CVCL_0360	JAR cell	Homo Sapiens	Placenta	Placenta	24Y	Fetus	Female	White	Gestational choriocarcinoma	no available	cell	JAR	curated
JEG-3	JEG-3	CVCL_0363	JEG-3 cell	Homo Sapiens	Placenta	Fetal brain	no available	Fetus	Male	Caucasian	Gestational choriocarcinoma	no available	cell	JEG-3; JEG3; JEG3 CELL	curated
JHH-5	JHH-5	CVCL_0364	no available	Homo Sapiens	Liver	Liver	50Y	Adult	Male	Japanese	Adult hepatocellular carcinoma	no available	cell	JHH5; FLC5; FUNCTIONAL LIVER CELL-5; JHH-5; FLC-5	curated
SNU-423	SNU-423	CVCL_0366	SNU-423 cell	Homo Sapiens	Liver	Liver	40Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU423 CELL; SNU423; NCI-SNU-423	curated
Jurkat-Clone-E6-1	Jurkat E6.1	CVCL_0367	JURKAT E-6.1 cell	Homo Sapiens	Blood	Peripheral blood	14Y	Juvenile	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	"J.E6-1; JURKAT-CLONEE61; JURKAT E6-1; JURKAT-E6; JURKAT E-61; JURKAT E6; JURKAT E-6.1; JURKAT CLONE E6-1; JURKAT, CLONE E6-1; JURKATE6-1; JURKAT (CLONE E6-1); JURKAT E-61 CELL; E6-1; JURKAT J6"	curated
KATOIII	KATO III	CVCL_0371	KATO-III cell	Homo Sapiens	Stomach	Pleural effusion	55Y	Adult	Male	Japanese	Gastric signet ring cell adenocarcinoma	no available	cell	KATO III; KATO 3; JAPANESE TISSUE CULTURE-28; KATO III CELL; KATOIII; KATO-III; JTC-28	curated
KGN	KGN	CVCL_0375	KGN cell	Homo Sapiens	Ovary	Ovary; Ovarian follicle; Peritoneum; Granulosa cell layer	69Y	Elderly	Female	Japanese	Ovarian granulosa cell tumor	no available	cell	KGN	curated
KNS-42	KNS-42	CVCL_0378	KNS-42 cell	Homo Sapiens	Brain	no available	16Y	Juvenile	Male	Japanese	Glioblastoma	no available	cell	KNS42	curated
KU812	Ku812	CVCL_0379	KU-812 cell	Homo Sapiens	Blood	Peripheral blood	38Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	basophil progenitor cell	cell	KU812; KU 812; KU-812; KU812 CELL; KU.812	curated
LAMA-84	LAMA-84	CVCL_0388	LAMA-84 cell	Homo Sapiens	Blood	Peripheral blood	29Y	Adult	Female	no available	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	LAMA-84; LAMA84 CELL; LAMA84	curated
LN-18	LN-18	CVCL_0392	LN-18 cell	Homo Sapiens	Brain	Right temporal lobe	65Y	Elderly	Male	Caucasian	Glioblastoma	no available	cell	LN018; LN 18 CELL; LN18 CELL; LN18; LN 18	curated
LN-229	LN-229	CVCL_0393	LN-229 cell	Homo Sapiens	Brain	Right frontal parieto-occipital cortex	60Y	Adult	Female	Caucasian	Glioblastoma	no available	cell	LN 229 CELL; NAN; LN229; LN 229; LN229 CELL; LNT-229	curated
LN-Z308	LN-308	CVCL_0394	LN-308 cell	Homo Sapiens	Brain	no available	60Y	Adult	Male	Caucasian	Brain astrocytoma	no available	cell	LNZ308 CELL; LNZ 308; LN308; LNZ-308; LNZ308; LN-308; LN 308; LN-Z308 CELL; LN308 CELL; LNZ-308 CELL; LN-Z308	curated
LNCaP	LNCaP	CVCL_0395	LNCaP cell	Homo Sapiens	Prostate Gland	Left supraclavicular lymph node	50Y	Adult	Male	Caucasian	Prostate carcinoma	no available	cell	LNCAP; LYMPH NODE CARCINOMA OF THE PROSTATE; LNCAP CELL; LN-CAP	curated
LS-180	LS180	CVCL_0397	LS-180 cell	Homo Sapiens	Colon	Colon	58Y	Adult	Female	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	LABORATORY OF SURGERY 180; LS 180; LS-180	curated
LoVo	LoVo	CVCL_0399	LoVo cell	Homo Sapiens	Large Intestine	Left supraclavicular region	56Y	Adult	Male	Caucasian	Colon adenocarcinoma	no available	cell	LOVO CELL; LOVO	curated
M059J	M059J	CVCL_0400	no available	Homo Sapiens	Brain	Brain	33Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	MO59J; MO 59J	curated
M059K	M059K	CVCL_0401	no available	Homo Sapiens	Brain	Brain	33Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	M059K	curated
MDA-MB-435	MDA-MB-435	CVCL_0417	MDA-MB-435 cell	Homo Sapiens	Skin	Hypodermis; Right buttock	33Y	Adult	Male	Caucasian	Amelanotic melanoma	no available	cell	MDA 435; MDA-435; MDA-MB435; MDAMB435; MDA-MB435 CELL; NAN; MDA.MB.435; MDA-435 CELL; MDA435; MD ANDERSON-METASTATIC BREAST-435; MDA 435 CELL	curated
MDA-MB-453	MDA-MB-453	CVCL_0418	MDA-MB-453 cell	Homo Sapiens	Breast	Pericardial effusion	48Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	MDA453; MDA-MB 453; MDA-MB453; MDA-453; MDAMB453; MD ANDERSON-METASTATIC BREAST-453; MDA MB 453	curated
MDA-MB-468	MDA-MB-468	CVCL_0419	MDA-MB-468 cell	Homo Sapiens	Breast	Pleural effusion	51Y	Adult	Female	African American	Breast adenocarcinoma	no available	cell	MDA-468; MB468; MDA468; MDA-MB468 CELL; MDA-MB 468; MDA-MB468; MDA-468 CELL; MDAMB468; MD ANDERSON-METASTATIC BREAST-468	curated
MEG-01	MEG-01	CVCL_0425	MEG-01 cell	Homo Sapiens	Bone Marrow	Bone marrow	55Y	Adult	Male	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	MEG01; MEG-01	curated
MG-63	MG-63	CVCL_0426	MG-63 cell	Homo Sapiens	Bone	Left femur	14Y	Juvenile	Male	Caucasian	Osteosarcoma	no available	cell	NAN; MG63; M-G63; MG63 CELL	curated
MIA-PaCa-2	MIA PaCa-2	CVCL_0428	MiaPaCa-2 cell	Homo Sapiens	Pancreas	Pancreas	65Y	Elderly	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	MIA-PA-CA-2; MIAPACA.2; MIA PACA 2 CELL; MIA-PACA-2 CELL; PACA2; MIAPACA-2; MIAPACA CELL; MIA-PACA-2; PACA2 CELL; MIEAPACA.2 CELL; MIA PACA 2; MIA PACA II CELL; MIAPACA2; MIAPACA2 CELL; MIAPACA; MIA PACA2 CELL; MIA PACA2; MIA PACA-2 CELL	curated
MKN45	MKN45	CVCL_0434	MKN-45 cell	Homo Sapiens	Stomach	Liver	62Y	Adult	Female	Japanese	Gastric adenocarcinoma	no available	cell	MKN45 CELL; MKN-45; MKN 45	curated
Mewo	MeWo	CVCL_0445	MEWO cell	Homo Sapiens	Skin	Lymph node	78Y	Elderly	Male	Caucasian	Cutaneous melanoma	no available	cell	MEVO; ME-WO; MEVO CELL; HTB-65 CELL; EST50; MEL-MEWO; MEWO; SK-MEL-MEWO; MEWO CELL; BI-MEL; ME WO	curated
SNU-449	SNU-449	CVCL_0454	SNU-449 cell	Homo Sapiens	Liver	Liver	52Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU449 CELL; NCI-SNU-449; SNU449	curated
NCI-H292	NCI-H292	CVCL_0455	NCI-H292 cell	Homo Sapiens	Lung	Lymph node	32Y	Adult	Female	African American	Lung mucoepidermoid carcinoma	no available	cell	H292 CELL; H-292 CELL; HUT292; H-292; NCIH292; NCI-HUT-292; NCIH292 CELL; H292; NCI-HUT-292 CELL; HUT-292 CELL	curated
NCI-H460	NCI-H460	CVCL_0459	NCI-H460 cell	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	Caucasian	Lung large cell carcinoma	no available	cell	NCI.H460; H460; H460 CELL; H-460; NCI-460; NCIH460; NCI-HUT-460; H-460 CELL	curated
OVCAR-3	OVCAR-3	CVCL_0465	OVCAR-3 cell	Homo Sapiens	Ovary	Ascites	60Y	Adult	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	NIHOVCAR3; NIH:OVCAR3; NIH:OVCAR-3 CELL; OVCAR3 CELL; NIH-OVCAR-3; OVCAR 3; NIH:OVCAR-3; OVCAR-3; OVCAR3; OVCAR.3	curated
NKL	NKL	CVCL_0466	no available	Homo Sapiens	Blood	Peripheral blood	63Y	Adult	Male	no available	Natural killer cell lymphoblastic leukemia/lymphoma	natural killer cell	cell	NKL	curated
OE33	OE33	CVCL_0471	OE-33 cell	Homo Sapiens	Esophagus	Esophagus	73Y	Elderly	Female	Caucasian	Barrett adenocarcinoma	no available	cell	JROECL33; OE-33; OEC33; JROECL33 CELL; OE33 CELL; JROECL 33	curated
OVCA433	OVCA433	CVCL_0475	OVCA-433 cell	Homo Sapiens	Ovary	Ovary	no available	no available	Female	Caucasian	Ovarian serous adenocarcinoma	no available	cell	OVCA433_BAST; OVCAR-433; OVCA-433; OVCA 433; OVCAR-433 CELL; OVCAR433 CELL; SKOV-433; SK-OV-433; OV433; OVCA433 CELL; OVCAR 433; OVCA433; OVCA 433 CELL; OVCAR433	curated
PA-1	PA-1	CVCL_0479	PA-1 cell	Homo Sapiens	Ovary	Ascites	12Y	Juvenile	Female	White	Ovarian mixed germ cell tumor	no available	cell	PA I; PA1; PAI	curated
PANC-1	PANC-1	CVCL_0480	PANC-1 cell	Homo Sapiens	Pancreas	Pancreas	56Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	PANC1 CELL; PANC1; PANC.1; PANC-1; PANC 1; PANC-1-P	curated
PLC-PRF-5	PLC/PRF/5	CVCL_0485	PLC-PRF-5 cell	Homo Sapiens	Liver	Liver	24Y	Adult	Male	African; Shangaan	Adult hepatocellular carcinoma	no available	cell	ALEXANDER CELLS; PLCPRF5; PLC; PLC PRF 5; PLC/PRF/5 CELL; PLC-8024; PLC/PRF5; PLC-PRF-5; PRIMARY LIVER CARCINOMA/POLIOMYELITIS RESEARCH FOUNDATION/5; PLC-8024 CELL; PLC8024; PLC8024 CELL; ALEXANDER	curated
SNU-475	SNU-475	CVCL_0497	SNU-475 cell	Homo Sapiens	Liver	Liver	43Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU475 CELL; NCI-SNU-475; SNU475	curated
RCC4	RCC4	CVCL_0498	RCC-4 cell	Homo Sapiens	Kidney	Kidney	no available	no available	no available	Caucasian	Clear cell renal cell carcinoma	no available	cell	RCC4 CELL; RCC-4	curated
RKO	RKO	CVCL_0504	RKO cell	Homo Sapiens	Colon	Colon	no available	no available	no available	no available	Colon carcinoma	no available	cell	RKO	curated
RL95-2	RL95-2	CVCL_0505	RL95-2 cell	Homo Sapiens	Endometrium	Endometrium	65Y	Elderly	Female	Caucasian	Endometrial adenosquamous carcinoma	no available	cell	RL952; RL95 CELL; RL95; RL-95-2; RL-952; RL-95 CELL; RL-95-2 CELL; RL95_2	curated
Raji	Raji	CVCL_0511	RAJI cell	Homo Sapiens	Haematopoietic and Lymphoid	Jaw; Maxilla; Bone	11Y	Children	Male	African; Nigerian	Burkitt lymphoma	B cell	cell	GM04671; NAN; P1-RAJI; RAJI; RAJI CELL	curated
SG231	SG231	CVCL_0519	SG231 cell	Homo Sapiens	Biliary Tract	Liver	42Y	Adult	Male	no available	Intrahepatic cholangiocarcinoma	no available	cell	PCI-SG231 CELL; PCI-SG231; PCI:SG231; PCI:SG231 CELL; PCI:SG-231	curated
SK-HEP-1	SK-HEP-1	CVCL_0525	SK-HEP-1 cell	Homo Sapiens	Liver	Ascites	52Y	Adult	Male	Caucasian	Liver and intrahepatic bile duct epithelial neoplasm; Hepatocellular carcinoma	endothelial cell	cell	SK-HEP1 CELL; SKHEP-1; SK-HEP1; SK HEP1; SK-HEP-1; SKHEP1; SK_HEP1; SKHEP1 CELL; SK HEP 01; SK-HEP-1 CELL; SK HEP-1	curated
SK-MEL-28	SK-MEL-28	CVCL_0526	SK-MEL-28 cell	Homo Sapiens	Skin	Skin	51Y	Adult	Male	Caucasian	Cutaneous melanoma	melanocyte of skin	cell	SK MEL28; SK-MEL28; SK.MEL.28; SK-MEL 28; SKMEL-28; P-36; SKMEL-28 CELL; SK28; SKMEL28; SKML-28; P36; SK-MEL-28; SK-MEL28 CELL; SK MEL-28; AU-MEL; SK MEL 28	curated
SK-MEL-5	SK-MEL-5	CVCL_0527	SK-MEL-5 cell	Homo Sapiens	Skin	Lymph node; Axillary lymph node	24Y	Adult	Female	Caucasian	Cutaneous melanoma	no available	cell	SK-MEL-5; SK-MEL5; SKMEL-5 CELL; SKMEL5; SK MEL 5; SKMEL-5; AA-MEL; SK.MEL.5	curated
SK-N-BE-2	SK-N-BE(2)	CVCL_0528	SK-N-BE(2) cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	2Y	Infant	Male	Caucasian	Neuroblastoma	no available	cell	SK-N-BE2; SKNBE; SKNBE CELL; SKNBE(2); SK-N-BE; SK-N-BE CELL; SKNBE(2) CELL; SKNBE-2; SKNBE-2 CELL; SKNBE2; SK-N-BE-2; SKNBE2 CELL	curated
BE2-C	SK-N-BE(2)-C	CVCL_0529	SK-N-BE(2)C cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	2Y	Infant	Male	Caucasian	Neuroblastoma	no available	cell	BE(2)C; SKNBE(2C); SK-N-BE(2C); BE(2)C CELL; SK-N-BE2(C); BE2-C; SK-N-BE-2C; SK-N-BE(2)-C CELL; BE(2)-C; BE2C; SK-N-BE(2)C; BE(2)-C CELL; BE2_C; SKNBE2C; SK-N-BE2C; SK_N_BE2C	curated
SK-N-MC	SK-N-MC	CVCL_0530	SK-N-MC cell	Homo Sapiens	Bone	Supra-orbital area	14Y	Juvenile	Female	Caucasian	Ewing sarcoma	no available	cell	SK-NMC; SKNMC; SK-NM-C	curated
SK-N-SH	SK-N-SH	CVCL_0531	SK-N-SH cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	4Y	Children	Female	Caucasian	Neuroblastoma	no available	cell	SK N SH; SKNSH CELL; NSH; SKN-SH CELL; SKNSH; SKN-SH; SK N SH CELL; SK-NSH CELL; SK.N.SH CELL; SK-NSH	curated
SK-OV-3	SK-OV-3	CVCL_0532	SKOV-3 cell	Homo Sapiens	Ovary	Ascites	64Y	Adult	Female	Caucasian	Ovarian serous cystadenocarcinoma	no available	cell	SKOV3 CELL; SKOV3 (S); SK-OV-3 CELL; SKOV3; SK.OV.3; SK-OV3; SKO3; SKOV-3	curated
SK-UT-1	SK-UT-1	CVCL_0533	SK-UT-1 cell	Homo Sapiens	Uterus	Uterus	75Y	Elderly	Female	Caucasian	Uterine corpus leiomyosarcoma	no available	cell	SKUT-1; SK UT 1; SKUT1	curated
SNB19	SNB-19	CVCL_0535	SNB-19 cell	Homo Sapiens	Brain	Parietal lobe	75Y	Elderly	Male	Caucasian	Brain astrocytoma	no available	cell	SNB.19 CELL; SNB19 CELL; SNB.19; SNB 19 CELL; SURGICAL NEUROLOGY BRANCH-19; AURGICAL NEUROLOGY BRANCH-19 CELL; SNB19	curated
SU-DHL-1	SU-DHL-1	CVCL_0538	SU-DHL-1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	10Y	Children	Male	Caucasian	Alk-positive anaplastic large cell lymphoma	no available	cell	SUDHL 1; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-1; SU-DHL1; SUDHL1; SUDHL-1 CELL; SUDHL-1	curated
SU-DHL-4	SU-DHL-4	CVCL_0539	SU-DHL-4 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion; Peritoneal effusion	38Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	SUDHL 4; SU-DHL4 CELL; DHL-4 CELL; SUDHL-4; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-4; SUD4; SUDHL-4 CELL; DHL-4; SUD-4; DHL4; SUDHL4 CELL; SU4; SU-DHL-4 CELL; SUDHL4; SUDHL 4 CELL; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-4 CELL	curated
SW13	SW13	CVCL_0542	no available	Homo Sapiens	Adrenal Gland	Adrenal cortex	55Y	Adult	Female	Caucasian	Adrenal cortex carcinoma	no available	cell	SW-13; SW 13; SCOTT AND WHITE NO. 13	curated
SW1353	SW1353	CVCL_0543	SW-1353 cell	Homo Sapiens	Right Humerus	Right humerus	72Y	Elderly	Female	Caucasian	Primary central chondrosarcoma	no available	cell	SW1353 CELL; SW 1353 CELL; SW 1353; SW-1353	curated
SW1116	SW1116	CVCL_0544	SW-1116 cell	Homo Sapiens	Colon	Colon	73Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	SW1116 CELL; SW 1116; SW-1116	curated
SW403	SW403	CVCL_0545	SW-403 cell	Homo Sapiens	Colon	Colon	51Y	Adult	Female	Caucasian	Colon adenocarcinoma	no available	cell	SW 403; SW403 CELL; SW-403	curated
SW480	SW480	CVCL_0546	SWH-80 cell	Homo Sapiens	Large Intestine	Lymph node; Colon	50Y	Adult	Male	Caucasian	Colon adenocarcinoma	no available	cell	SW 480; SWH80 CELL; NAN; SW480 CELL; SW480E; SW-480	curated
SW620	SW620	CVCL_0547	SW-620 cell	Homo Sapiens	Large Intestine	Lymph node; Colon	51Y	Adult	Male	Caucasian	Colon adenocarcinoma	no available	cell	SW.620; SW 620; SW-620; SW620 CELL	curated
Saos-2	SaOS-2	CVCL_0548	SAOS-2 cell	Homo Sapiens	Bone	Bone	11Y	Children	Female	Caucasian	Osteosarcoma	no available	cell	SAOS2 CELL; SAOS-2; SAOS 2; SAOS2; SAOS; SARCOMA OSTEOGENIC-2	curated
SK-MEL-3	SK-MEL-3	CVCL_0550	SK-MEL-3 cell	Homo Sapiens	Skin	Lymph node	42Y	Adult	Female	Caucasian	Cutaneous melanoma	no available	cell	SK-MEL-3; SK-MEL3; SKMEL3	curated
T47D	T-47D	CVCL_0553	T-47D cell	Homo Sapiens	Breast	Pleural effusion	54Y	Adult	Female	Caucasian	Invasive breast carcinoma	no available	cell	T47D CELL; T47-D CELL; T47-D; T47D; T-47-D; T47D:A	curated
T24	T24	CVCL_0554	T-24 cell	Homo Sapiens	Bladder	Urinary bladder	81Y	Elderly	Female	Caucasian; Swedish	Bladder carcinoma	no available	cell	T24 CELL; T-24; T 24	curated
T84	T84	CVCL_0555	T-84 cell	Homo Sapiens	Large Intestine	Lung	72Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	T84 CELL; T 84; T-84	curated
T98G	T98G	CVCL_0556	T-98G cell	Homo Sapiens	Brain	Brain	61Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	T98G CELL; T 98 G; T 98 G CELL; T98-G; T98 G CELL; T98-G CELL; T-98G; T98 G	curated
TF-1	TF-1	CVCL_0559	TF-1 cell	Homo Sapiens	Bone Marrow	Bone marrow	35Y	Adult	Male	Japanese	Erythroleukemia	no available	cell	MFD-1; TF1	curated
U-266	U266B1	CVCL_0566	U-266 cell	Homo Sapiens	Blood	Peripheral blood	53Y	Adult	Male	Caucasian	Plasma cell myeloma	no available	cell	U266 BL; U 266; 266 BL; U266; U266B1; U266 CELL; U266 B1; U266S; U266-B1; U-266; U266BL	curated
WM35	WM35	CVCL_0580	WM-35 cell	Homo Sapiens	Skin	Skin	24Y	Adult	Female	Caucasian	Cutaneous melanoma	no available	cell	WM35 CELL; WM-35; WM 35; WC00060	curated
RO82-W-1	WRO	CVCL_0582	WRO cell	Homo Sapiens	Thyroid	no available	no available	no available	Female	Caucasian	Thyroid gland follicular carcinoma	no available	cell	WRO82-1; UCLA RO 82-W-1; WRO82; RO82W-1; RO82-W-1; UCLA RO-82W-1; RO82W1; WRO-82; WRO 82-1; RO82; WRO; RO 82 W-1; UCLA RO82W1	curated
ZR-75-1	ZR-75-1	CVCL_0588	ZR-75-1 cell	Homo Sapiens	Breast	Ascites	63Y	Adult	Female	Caucasian	Invasive breast carcinoma	no available	cell	"ZR75-1, ZR751; ZR75_1; ZR-75-1; ZR751; ZR75-1 CELL; ZR75.1; ZR75-1"	curated
KASUMI-1	Kasumi-1	CVCL_0589	Kasumi-1 cell	Homo Sapiens	Blood	Peripheral blood	7Y	Children	Male	Japanese	Childhood acute megakaryoblastic leukemia	no available	cell	KASUMI1; KASUMI 1; KASUMI-1; KASUMI CELL	curated
KASUMI-2	Kasumi-2	CVCL_0590	no available	Homo Sapiens	Bone Marrow	Bone marrow	15Y	Juvenile	Male	Japanese	B-cell acute lymphoblastic leukemia	no available	cell	KASUMI2; KASUMI-2	curated
SK-MEL-24	SK-MEL-24	CVCL_0599	SK-MEL-24 cell	Homo Sapiens	Skin	Lymph node	67Y	Elderly	Male	Caucasian	Melanoma	no available	cell	SKMEL-24; SK MEL 24; SKMEL-24 CELL; AQ-MEL; SK-MEL24 CELL; SK-MEL-24; SK-MEL24; SKMEL24	curated
SK-MEL-31	SK-MEL-31	CVCL_0600	no available	Homo Sapiens	Skin	no available	33Y	Adult	Female	Caucasian	Cutaneous melanoma	no available	cell	SKMEL-31; AX-MEL; SK-MEL-31; SKMEL31	curated
Calu-1	Calu-1	CVCL_0608	Calu-1 cell	Homo Sapiens	Lung	Pleural effusion; Pleura	47Y	Adult	Male	Caucasian	Lung squamous cell carcinoma	no available	cell	CALU-1; CALU 1; CALU1; CALU.1; CALU1 CELL	curated
Calu-3	Calu-3	CVCL_0609	Calu-3 cell	Homo Sapiens	Lung	Pleural effusion	25Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	CALU3; CALU 3; CALU-3	curated
KASUMI-6	Kasumi-6	CVCL_0614	no available	Homo Sapiens	Blood	Peripheral blood	64Y	Adult	Male	Japanese and Korean	Acute myeloid leukemia	no available	cell	KASUMI-6; KASUMI6	curated
MDA-MB-134-VI	MDA-MB-134-VI	CVCL_0617	no available	Homo Sapiens	Breast	Pleural effusion	47Y	Adult	Female	Caucasian	Invasive lobular breast carcinoma	no available	cell	MDA-MB-134VI; MD ANDERSON-METASTATIC BREAST-134-VI; MDA-MB-134 VI; MDA134; MM134; MDAMB134; MDA-MB-134; MDA MB 134VI; MDA-134; MDAMB134VI	curated
MDA-MB-157	MDA-MB-157	CVCL_0618	MDA-MB-157 cell	Homo Sapiens	Breast	Pleural effusion	44Y	Adult	Female	African American	Breast carcinoma	no available	cell	MDA157 CELL; MDA-MB157; MD ANDERSON-METASTATIC BREAST-157; MB157 CELL; MDAMB157; MDA-157 CELL; MB157; MDA-MB157 CELL; MB-157 CELL; MDA-157; MDA157; MB 157	curated
MDA-MB-330	MDA-MB-330	CVCL_0619	no available	Homo Sapiens	Breast	Pleural effusion	43Y	Adult	Female	Caucasian	Invasive lobular breast carcinoma	no available	cell	MDA-330; MDAMB330; MD ANDERSON-METASTATIC BREAST-330; MDA330	curated
